About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 87.8701171875, 'source': 'mta', 'longitude': 10.17344802063, 'latitude': 36.816515574341, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 87.8701171875, 'source': 'mta', 'longitude': 10.17344802063, 'latitude': 36.816515574341, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 87.8701171875, 'source': 'mta', 'longitude': 10.17344802063, 'latitude': 36.816515574341, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 87.8701171875, 'source': 'mta', 'longitude': 10.17344802063, 'latitude': 36.816515574341, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 87.8701171875, 'source': 'mta', 'longitude': 10.17344802063, 'latitude': 36.816515574341, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 87.8701171875, 'source': 'mta', 'longitude': 10.17344802063, 'latitude': 36.816515574341, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 87.8701171875, 'source': 'mta', 'longitude': 10.17344802063, 'latitude': 36.816515574341, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 87.8701171875, 'source': 'mta', 'longitude': 10.17344802063, 'latitude': 36.816515574341, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 87.8701171875, 'source': 'mta', 'longitude': 10.17344802063, 'latitude': 36.816515574341, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 87.8701171875, 'source': 'mta', 'longitude': 10.17344802063, 'latitude': 36.816515574341, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 87.8701171875, 'source': 'mta', 'longitude': 10.17344802063, 'latitude': 36.816515574341, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 87.8701171875, 'source': 'mta', 'longitude': 10.17344802063, 'latitude': 36.816515574341, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 87.8701171875, 'source': 'mta', 'longitude': 10.17344802063, 'latitude': 36.816515574341, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 87.8701171875, 'source': 'mta', 'longitude': 10.17344802063, 'latitude': 36.816515574341, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 87.8701171875, 'source': 'mta', 'longitude': 10.17344802063, 'latitude': 36.816515574341, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 87.8701171875, 'source': 'mta', 'longitude': 10.17344802063, 'latitude': 36.816515574341, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 87.8701171875, 'source': 'mta', 'longitude': 10.17344802063, 'latitude': 36.816515574341, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 87.8701171875, 'source': 'mta', 'longitude': 10.17344802063, 'latitude': 36.816515574341, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 87.8701171875, 'source': 'mta', 'longitude': 10.17344802063, 'latitude': 36.816515574341, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 87.8701171875, 'source': 'mta', 'longitude': 10.17344802063, 'latitude': 36.816515574341, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 87.8701171875, 'source': 'mta', 'longitude': 10.173448021851, 'latitude': 36.816515574341, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 87.8701171875, 'source': 'mta', 'longitude': 10.173448021851, 'latitude': 36.816515574341, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 87.870239257812, 'source': 'mta', 'longitude': 10.173448023071, 'latitude': 36.816515574341, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 87.8701171875, 'source': 'mta', 'longitude': 10.173448023071, 'latitude': 36.816515574341, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 87.8701171875, 'source': 'mta', 'longitude': 10.173448023071, 'latitude': 36.816515574341, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 87.8701171875, 'source': 'mta', 'longitude': 10.173448023071, 'latitude': 36.816515574341, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 87.8701171875, 'source': 'mta', 'longitude': 10.173448023071, 'latitude': 36.816515574341, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 87.8701171875, 'source': 'mta', 'longitude': 10.173448023071, 'latitude': 36.816515574341, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 87.8701171875, 'source': 'mta', 'longitude': 10.173448023071, 'latitude': 36.816515574341, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 87.8701171875, 'source': 'mta', 'longitude': 10.173448023071, 'latitude': 36.816515574341, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 87.8701171875, 'source': 'mta', 'longitude': 10.173448023071, 'latitude': 36.816515574341, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 87.8701171875, 'source': 'mta', 'longitude': 10.173448023071, 'latitude': 36.816515574341, 'ignition': True, 'speedKmh': 0}
